Name,Tr,Trn,Stratum
S1,3,88,73,1
S2,3.50,100,1
S3,4.50,29,2
S4,3.90,71,1
S5,4.50,29,2
S6,3.77,81,1
S7,4.80,7,3
S8,4.50,29,2
S9,4.50,29,2
S10,4.80,7,3
S11,3.86,74,1
S12,3.86,74,1
S13,3.86,74,1
S14,4.90,0,3
S15,4.90,0,3
S16,4.90,0,3
S17,4.39,36,2
S18,4.79,8,3
S19,4.69,15,3
S20,4.79,8,3
S21,3.57,95,1
S22,4.78,9,3
S23,3.79,79,1
S24,4.90,0,3
S25,4.89,1,3
S26,3.77,81,1
S27,4.60,21,2
S28,3.90,71,1
S29,54.88,1,3
S30,4.88,1,3
